config,schedule,raw_min,raw_max,clip_fraction,residual_range,total_variation,mean_abs_step_derivative,mean_abs_second_diff,sign_changes_derivative
spline_s0.01_shrink1_clip0.15,cosine,-0.06283786908589073,0.05108267245924992,0.0,0.11392054154514064,258.8851331623376,0.015734828490994807,0.027128295584073637,10856
spline_s0.01_shrink1_clip0.15,811,-0.06283786908589073,0.05108267245924992,0.0,0.11392054154514064,258.8851331623376,0.015734828490994807,0.027128295584073637,10856
spline_s0.01_shrink1_clip0.15,wsd,-0.06283786908589073,0.05108267245924992,0.0,0.11392054154514064,258.8851331623376,0.015734828490994807,0.027128295584073637,10856
spline_s0.05_shrink1_clip0.15,cosine,-0.06164114976336016,0.05111185727800779,0.0,0.11275300704136795,248.45940250216498,0.015101161034593386,0.025618269707691117,10484
spline_s0.05_shrink1_clip0.15,811,-0.06164114976336016,0.05111185727800779,0.0,0.11275300704136795,248.45940250216498,0.015101161034593386,0.025618269707691117,10484
spline_s0.05_shrink1_clip0.15,wsd,-0.06164114976336016,0.05111185727800779,0.0,0.11275300704136795,248.45940250216498,0.015101161034593386,0.025618269707691117,10484
spline_s0.1_shrink1_clip0.15,cosine,-0.06060604841556179,0.05114761108775137,0.0,0.11175365950331316,238.7982578122018,0.014513964493539281,0.02424083687645545,10118
spline_s0.1_shrink1_clip0.15,811,-0.06060604841556179,0.05114761108775137,0.0,0.11175365950331316,238.7982578122018,0.014513964493539281,0.02424083687645545,10118
spline_s0.1_shrink1_clip0.15,wsd,-0.06060604841556179,0.05114761108775137,0.0,0.11175365950331316,238.7982578122018,0.014513964493539281,0.02424083687645545,10118
