config,ridge_alpha,event_shrink,val_full_mae,val_tail_mae,val_last2048_mae,val_endpoint_abs_diff,score_full,score_full_tail,score_endpoint_penalty,val_improves_step_base,val_improves_step_reference,val_endpoint_within_2x_step_reference
linear_endpoint_ridge0.0001_shrink0,0.0001,0.0,0.033067127649341034,0.032647250057109875,0.029666542356695698,0.04258838275006971,0.033067127649341034,0.03226104731314262,0.05436131902437589,False,False,True
linear_endpoint_ridge0.0001_shrink0.25,0.0001,0.25,0.03163005100413988,0.0324544024316635,0.02975217690816736,0.04299212085108506,0.03163005100413988,0.03150178161320246,0.05312611142968241,True,True,True
linear_endpoint_ridge0.0001_shrink0.5,0.0001,0.5,0.030625523642565988,0.032280430276266925,0.029844897841596423,0.04339579784678982,0.030625523642565988,0.03096587047248236,0.0523234225659609,True,True,True
linear_endpoint_ridge0.0001_shrink0.75,0.0001,0.75,0.030066215387929106,0.03213070683274641,0.02994536055667437,0.04379941374643215,0.030066215387929106,0.030661391855123347,0.05196592226114518,True,True,True
linear_endpoint_ridge0.0001_shrink1,0.0001,1.0,0.029980722345313196,0.03200609581571564,0.03005823533615668,0.044202968559259315,0.029980722345313196,0.030603836984602627,0.05208220662494285,True,True,True
linear_endpoint_ridge0.01_shrink0,0.01,0.0,0.033067127649341034,0.032647250057109875,0.029666542356695698,0.04258838275006971,0.033067127649341034,0.03226104731314262,0.05436131902437589,False,False,True
linear_endpoint_ridge0.01_shrink0.25,0.01,0.25,0.03163761267221426,0.03245512020353399,0.029752083702226893,0.04299203902879345,0.03163761267221426,0.03150575913761271,0.053133632186610984,True,True,True
linear_endpoint_ridge0.01_shrink0.5,0.01,0.5,0.030634968139826715,0.03228180800666542,0.029844702120687003,0.04339563422697168,0.030634968139826715,0.030970966896050386,0.05233278525331256,True,True,True
linear_endpoint_ridge0.01_shrink0.75,0.01,0.75,0.03007131840225977,0.03213269780947042,0.02994505959224881,0.043799168353846785,0.03007131840225977,0.030664480462420776,0.05197090257918316,True,True,True
linear_endpoint_ridge0.01_shrink1,0.01,1.0,0.029975632077588504,0.03200860549713408,0.03005783128776915,0.04420264141866026,0.029975632077588504,0.0306019639454883,0.05207695278691864,True,True,True
linear_endpoint_ridge0.1_shrink0,0.1,0.0,0.033067127649341034,0.032647250057109875,0.029666542356695698,0.04258838275006971,0.033067127649341034,0.03226104731314262,0.05436131902437589,False,False,True
linear_endpoint_ridge0.1_shrink0.25,0.1,0.25,0.031700588445594875,0.03246110027872032,0.02975130750703741,0.04299133609518391,0.031700588445594875,0.031538885807821014,0.05319625649318683,True,True,True
linear_endpoint_ridge0.1_shrink0.5,0.1,0.5,0.030715977902191088,0.032293260049144505,0.02984307029025189,0.04339422857230035,0.030715977902191088,0.031014581023889272,0.05241309218834127,True,True,True
linear_endpoint_ridge0.1_shrink0.75,0.1,0.75,0.030121299148875274,0.032149292299885515,0.029942591929190212,0.04379706019061391,0.030121299148875274,0.030693955650241335,0.052019829244182234,True,True,True
linear_endpoint_ridge0.1_shrink1,0.1,1.0,0.02994552471203598,0.03202942637021719,0.030054439191995696,0.04419983095931723,0.02994552471203598,0.03059247810548229,0.052045440191694596,True,True,True
linear_endpoint_ridge1_shrink0,1.0,0.0,0.033067127649341034,0.032647250057109875,0.029666542356695698,0.04258838275006971,0.033067127649341034,0.03226104731314262,0.05436131902437589,False,False,True
linear_endpoint_ridge1_shrink0.25,1.0,0.25,0.032035789712715264,0.03249448912865745,0.029746979843439898,0.04298632118853529,0.032035789712715264,0.031715637563642846,0.05352895030698291,True,True,True
linear_endpoint_ridge1_shrink0.5,1.0,0.5,0.03119800181508271,0.03235731221404742,0.029833889668616966,0.04338420026462497,0.03119800181508271,0.031272972505478974,0.0528901019473952,True,True,True
linear_endpoint_ridge1_shrink0.75,1.0,0.75,0.030561249523170433,0.03224087294380905,0.029928488263881375,0.04378201998719611,0.030561249523170433,0.030938584297504207,0.05245225951676849,True,True,True
linear_endpoint_ridge1_shrink1,1.0,1.0,0.03012662069224046,0.03214433181730382,0.030034640533485986,0.04417978036510206,0.03012662069224046,0.030713537998008574,0.05221651087479149,True,True,True
linear_endpoint_ridge10_shrink0,10.0,0.0,0.033067127649341034,0.032647250057109875,0.029666542356695698,0.04258838275006971,0.033067127649341034,0.03226104731314262,0.05436131902437589,False,False,True
linear_endpoint_ridge10_shrink0.25,10.0,0.25,0.03255648073075823,0.03258005770271894,0.029735724860720368,0.042962204779498414,0.03255648073075823,0.03199940264833887,0.05403758312050744,True,True,True
linear_endpoint_ridge10_shrink0.5,10.0,0.5,0.03208667723961054,0.032520874950706,0.029808750879912478,0.043335974423647894,0.03208667723961054,0.031761351280999564,0.05375466445143449,True,True,True
linear_endpoint_ridge10_shrink0.75,10.0,0.75,0.031658727532302484,0.032469255426857704,0.029886784720864163,0.0437096916898585,0.031658727532302484,0.031547497338381386,0.053513573377231734,True,True,True
linear_endpoint_ridge10_shrink1,10.0,1.0,0.03127682592329088,0.03242792908329041,0.029969701903707915,0.04408335658547058,0.03127682592329088,0.03136073206737415,0.05331850421602617,True,True,True
