sample_end,run,full_run_name,eval_scope,n_train_points,n_eval_points,eval_step_start,eval_step_end,L0,A,C,alpha,mae,mse,r2,endpoint_true,endpoint_pred,endpoint_diff,endpoint_abs_diff
2000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,1001,31907,2001,33907,3.017224260351516,0.8525200526429929,0.0,1.371812162057032,0.2554229194752446,0.07433159467471263,-2.988277296797662,2.646177291870117,3.0326267557465982,0.38644946387648105,0.38644946387648105
4000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,3001,29907,4001,33907,2.674775441765131,1.180311324122443,0.0,0.8487583090518138,0.0561161302240765,0.004879839935945795,0.5338086577005035,2.646177291870117,2.7732919956543145,0.1271147037841973,0.1271147037841973
6000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,5001,27907,6001,33907,2.7254099912391285,1.13695235496494,0.0,0.9169067746326568,0.07509552639983762,0.008258922374449081,-0.08590783474915553,2.646177291870117,2.8031529459929883,0.15697565412287107,0.15697565412287107
8000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,7001,25907,8001,33907,2.724584008091441,1.1376509718568084,0.0,0.9156955697403393,0.0780769003770811,0.0087027609509132,-0.45128185091818596,2.646177291870117,2.802650893843401,0.15647360197328375,0.15647360197328375
10000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,9001,23907,10001,33907,2.7418336016213054,1.1226420337362206,0.1041148121452506,0.939193172737409,0.04123230428096898,0.0026317251734624715,0.46172907514879746,2.646177291870117,2.720447107494635,0.07426981562451784,0.07426981562451784
12000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,11001,21907,12001,33907,2.746561674229763,1.1187395917244007,0.12750820489647016,0.9463095119011034,0.036182025482869744,0.0020497395169985343,0.5001298281564217,2.646177291870117,2.702483804724067,0.05630651285394972,0.05630651285394972
14000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,13001,19907,14001,33907,2.7501718328371743,1.1159578491976863,0.14041286141101522,0.9522669688976956,0.034249323023695745,0.0018444474727764121,0.46658765393788293,2.646177291870117,2.6931447382585927,0.0469674463884755,0.0469674463884755
16000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,15001,17907,16001,33907,2.7512178922617876,1.115142345240337,0.14409295609615344,0.953991369630931,0.03384761050136912,0.0018073499858994309,0.38777168837745757,2.646177291870117,2.6904964794231576,0.04431918755304043,0.04431918755304043
18000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,17001,15907,18001,33907,2.755618285889345,1.1122277863244694,0.1539002943201106,0.9622785526494378,0.03288965912725009,0.0017035430423597852,0.3343410422694444,2.646177291870117,2.6842944583058537,0.03811716643573648,0.03811716643573648
20000,cosine,M:100M_gpt_D:20B_scheduler:cosine_rope,unseen_after_sample_end,19001,13907,20001,33907,2.7570271857951765,1.1113685007414196,0.1565446211458959,0.9650848814206608,0.03265742900497754,0.0016839091826477658,0.24519657603564238,2.646177291870117,2.682737963242476,0.036560671372358744,0.036560671372358744
