model,first_family,second_family,first_config,addon_config,selected_on,target_schedule,window,mae,rmse,r2,endpoint_abs_diff
s1_clamp_plus_step_abs,s1_clamp,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,811,full,0.03613537727723954,0.04538276179341921,0.9342588688652806,0.05365352000796664
s1_ratio_plus_step_abs,s1_ratio,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,811,full,0.04245132478982701,0.07469206803044885,0.8219244488176949,0.05365352000796353
step_abs_plus_s1_ratio,step_abs,s1_ratio,s0.1_shrink1_clip0.15,s0.5_shrink0_clip0.25,811:full,811,full,0.033207063538535815,0.04173325079877043,0.9444070449548329,0.03687140497267105
s1_clamp_plus_step_abs,s1_clamp,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,811,last_2048_sampled,0.0313153067662264,0.03917493800950388,0.09619405087301092,0.05365352000796664
s1_ratio_plus_step_abs,s1_ratio,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,811,last_2048_sampled,0.032155072900380915,0.040064214211619056,0.05469529750995594,0.05365352000796353
step_abs_plus_s1_ratio,step_abs,s1_ratio,s0.1_shrink1_clip0.15,s0.5_shrink0_clip0.25,811:full,811,last_2048_sampled,0.029797790330936363,0.03736427524781395,0.17781095620162168,0.03687140497267105
s1_clamp_plus_step_abs,s1_clamp,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,811,steps_27126_33906,0.03520231516794282,0.04466064858302584,0.028761870392563615,0.05365352000796664
s1_ratio_plus_step_abs,s1_ratio,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,811,steps_27126_33906,0.035261863646823724,0.04452517180503901,0.03464537832415926,0.05365352000796353
step_abs_plus_s1_ratio,step_abs,s1_ratio,s0.1_shrink1_clip0.15,s0.5_shrink0_clip0.25,811:full,811,steps_27126_33906,0.032739427565394864,0.041595821508437276,0.15748996150196348,0.03687140497267105
s1_clamp_plus_step_abs,s1_clamp,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,wsd,full,0.03839662187684385,0.04805635874488602,0.9238554930892535,0.040967030564964535
s1_ratio_plus_step_abs,s1_ratio,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,wsd,full,0.0451182663001239,0.07889431678956703,0.7947759301851547,0.040967030564961426
step_abs_plus_s1_ratio,step_abs,s1_ratio,s0.1_shrink1_clip0.15,s0.5_shrink0_clip0.25,811:full,wsd,full,0.0351801883052973,0.04399643153904394,0.9361778011120478,0.024145945124007362
s1_clamp_plus_step_abs,s1_clamp,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,wsd,last_2048_sampled,0.033840818509048354,0.042623083947194,-0.03566344137867228,0.040967030564964535
s1_ratio_plus_step_abs,s1_ratio,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,wsd,last_2048_sampled,0.032503709193541105,0.040842873077336736,0.049041692473622,0.040967030564961426
step_abs_plus_s1_ratio,step_abs,s1_ratio,s0.1_shrink1_clip0.15,s0.5_shrink0_clip0.25,811:full,wsd,last_2048_sampled,0.029935568288819842,0.03763447870791635,0.19257774295577512,0.024145945124007362
s1_clamp_plus_step_abs,s1_clamp,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,wsd,steps_27126_33906,0.039904611146313884,0.04995453791449206,0.11968605087985718,0.040967030564964535
s1_ratio_plus_step_abs,s1_ratio,step_abs,s0.5_shrink0.5_clip0.15,s0.5_shrink0.5_clip0.25,811:full,wsd,steps_27126_33906,0.037889142121838006,0.04761860262952887,0.20009025954741755,0.040967030564961426
step_abs_plus_s1_ratio,step_abs,s1_ratio,s0.1_shrink1_clip0.15,s0.5_shrink0_clip0.25,811:full,wsd,steps_27126_33906,0.03579783971839802,0.044843050530152556,0.29062155384408506,0.024145945124007362
